index,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback,avg_set_margin,tiebreak_count,lead_changes,bp_saved_ratio,bp_total
139168,Australian Open,20050117,SF,268.0,5-7 6-4 5-7 7-6(6) 9-7,Marat Safin,Roger Federer,2.0592592592592593,2,1.8,4,3,0.7037037037037037,27.0
163309,Wimbledon,20130624,SF,283.0,7-5 4-6 7-6(2) 6-7(6) 6-3,Novak Djokovic,Juan Martin del Potro,2.0161616161616163,2,1.8,3,4,0.7727272727272727,22.0
173472,Australian Open,20170116,SF,296.0,6-3 5-7 7-6(5) 6-7(4) 6-4,Rafael Nadal,Grigor Dimitrov,2.0078544061302686,2,1.8,3,4,0.6896551724137931,29.0
180345,Roland Garros,20190527,SF,253.0,6-2 3-6 7-5 5-7 7-5,Dominic Thiem,Novak Djokovic,1.9490950226244343,2,2.6,3,4,0.5294117647058824,34.0
151840,Australian Open,20090119,SF,310.0,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,Rafael Nadal,Fernando Verdasco,1.9035714285714287,2,1.4,3,3,0.75,24.0
166246,Wimbledon,20140623,F,236.0,6-7(7) 6-4 7-6(4) 5-7 6-4,Novak Djokovic,Roger Federer,1.874431818181818,2,1.6,3,3,0.6818181818181818,22.0
151526,Wimbledon,20090622,F,256.0,5-7 7-6(6) 7-6(5) 3-6 16-14,Roger Federer,Andy Roddick,1.8638888888888887,2,1.8,3,3,0.75,12.0
192182,Australian Open,20240115,SF,258.0,5-7 3-6 7-6(4) 7-6(5) 6-3,Daniil Medvedev,Alexander Zverev,1.8375,3,2.0,3,1,0.625,24.0
158739,Australian Open,20120116,F,353.0,5-7 6-4 6-2 6-7(5) 7-5,Novak Djokovic,Rafael Nadal,1.8213286713286714,2,2.2,3,3,0.5769230769230769,26.0
126196,Australian Open,20010115,SF,248.0,5-7 2-6 7-6(4) 7-5 6-2,Arnaud Clement,Sebastien Grosjean,1.8086538461538462,3,2.6,3,1,0.625,32.0
174757,Roland Garros,20170529,SF,274.0,6-7(6) 6-3 5-7 7-6(3) 6-1,Stan Wawrinka,Andy Murray,1.800320512820513,2,2.4,3,3,0.46153846153846156,26.0
154887,US Open,20100830,SF,224.0,5-7 6-1 5-7 6-2 7-5,Novak Djokovic,Roger Federer,1.7859649122807018,2,3.0,3,3,0.5263157894736842,19.0
180644,Wimbledon,20190701,F,297.0,7-6(5) 1-6 7-6(4) 4-6 13-12(3),Novak Djokovic,Roger Federer,1.7773809523809525,2,2.0,2,4,0.5238095238095238,21.0
161743,Australian Open,20130114,SF,240.0,6-4 6-7(5) 6-3 6-7(2) 6-2,Andy Murray,Roger Federer,1.7772727272727276,2,2.2,2,4,0.6363636363636364,22.0
145314,Wimbledon,20070625,F,225.0,7-6(7) 4-6 7-6(3) 2-6 6-2,Roger Federer,Rafael Nadal,1.7673245614035087,2,2.4,2,4,0.631578947368421,19.0
151842,Australian Open,20090119,F,259.0,7-5 3-6 7-6(3) 3-6 6-2,Rafael Nadal,Roger Federer,1.7590109890109893,2,2.6,2,4,0.6285714285714286,35.0
163042,Roland Garros,20130527,SF,277.0,6-4 3-6 6-1 6-7(3) 9-7,Rafael Nadal,Novak Djokovic,1.7441538461538464,2,2.6,2,4,0.48,25.0
177956,Wimbledon,20180702,SF,396.0,7-6(6) 6-7(5) 6-7(9) 6-4 26-24,Kevin Anderson,John Isner,1.7410714285714288,2,1.4,3,2,0.625,16.0
125880,Wimbledon,20010625,SF,182.0,7-5 6-7(6) 0-6 7-6(5) 6-3,Goran Ivanisevic,Tim Henman,1.662820512820513,2,2.6,3,2,0.6666666666666666,15.0
170531,Australian Open,20160118,SF,243.0,4-6 7-5 6-7(4) 6-4 6-2,Andy Murray,Milos Raonic,1.6409090909090907,2,2.2,2,3,0.7727272727272727,22.0
151653,US Open,20090831,F,246.0,3-6 7-6(5) 4-6 7-6(4) 6-2,Juan Martin del Potro,Roger Federer,1.6366093366093364,2,2.2,2,3,0.7297297297297297,37.0
186305,Australian Open,20220117,F,324.0,2-6 6-7(5) 6-4 6-4 7-5,Rafael Nadal,Daniil Medvedev,1.634090909090909,3,2.2,2,1,0.7045454545454546,44.0
132457,US Open,20030825,SF,211.0,6-7(4) 3-6 7-6(7) 6-1 6-3,Andy Roddick,David Nalbandian,1.621153846153846,3,2.6,2,1,0.75,20.0
188237,Us Open,20220829,SF,259.0,6-7(6) 6-3 6-1 6-7(5) 6-3,Carlos Alcaraz,Frances Tiafoe,1.6017094017094016,2,2.6,2,3,0.5555555555555556,27.0
157929,US Open,20110829,SF,231.0,6-7(7) 4-6 6-3 6-2 7-5,Novak Djokovic,Roger Federer,1.6012254901960785,3,2.4,2,1,0.47058823529411764,17.0
129425,Australian Open,20020114,SF,220.0,6-7(5) 7-6(4) 3-6 6-0 6-2,Marat Safin,Tommy Haas,1.5948717948717948,2,3.0,2,3,0.6153846153846154,26.0
177957,Wimbledon,20180702,SF,315.0,6-4 3-6 7-6(9) 3-6 10-8,Novak Djokovic,Rafael Nadal,1.586969696969697,2,2.2,1,4,0.7333333333333333,30.0
138980,US Open,20050829,SF,164.0,6-4 5-7 6-3 4-6 6-3,Andre Agassi,Robby Ginepri,1.569683908045977,2,2.4,1,4,0.6551724137931034,29.0
176384,Australian Open,20180115,F,183.0,6-2 6-7(5) 6-3 3-6 6-1,Roger Federer,Marin Cilic,1.5417613636363636,2,3.2,1,4,0.6363636363636364,22.0
167587,Australian Open,20150119,SF,210.0,7-6(1) 3-6 6-4 4-6 6-0,Novak Djokovic,Stan Wawrinka,1.5412857142857144,2,2.8,1,4,0.52,25.0
125882,Wimbledon,20010625,F,182.0,6-3 3-6 6-3 2-6 9-7,Goran Ivanisevic,Patrick Rafter,1.5333333333333334,2,3.0,1,4,0.5,12.0
172032,Wimbledon,20160627,SF,204.0,6-3 6-7(3) 4-6 7-5 6-3,Milos Raonic,Roger Federer,1.4901069518716576,2,2.2,2,2,0.7647058823529411,17.0
158737,Australian Open,20120116,SF,290.0,6-3 3-6 6-7(4) 6-1 7-5,Novak Djokovic,Andy Murray,1.4532857142857143,2,2.8,2,2,0.64,50.0
126197,Australian Open,20010115,SF,187.0,7-5 2-6 6-7(5) 6-2 6-3,Andre Agassi,Patrick Rafter,1.4492857142857143,2,2.8,2,2,0.6,15.0
148400,Wimbledon,20080623,F,288.0,6-4 6-4 6-7(5) 6-7(8) 9-7,Rafael Nadal,Roger Federer,1.4370192307692309,1,1.6,3,2,0.8076923076923077,26.0
163907,US Open,20130826,SF,249.0,2-6 7-6(4) 3-6 6-3 6-4,Novak Djokovic,Stan Wawrinka,1.4116710875331566,2,2.6,1,3,0.6551724137931034,29.0
184835,Roland Garros,20210531,F,251.0,6-7(6) 2-6 6-3 6-2 6-4,Novak Djokovic,Stefanos Tsitsipas,1.4059523809523808,3,2.8,1,1,0.6666666666666666,24.0
182641,Us Open,20200831,F,242.0,2-6 4-6 6-4 6-3 7-6(6),Dominic Thiem,Alexander Zverev,1.4057795698924729,3,2.4,1,1,0.5161290322580645,31.0
142464,Australian Open,20060116,SF,207.0,3-6 5-7 6-3 6-4 6-4,Marcos Baghdatis,David Nalbandian,1.4041666666666666,3,2.4,1,1,0.5,30.0
190655,Wimbledon,20230703,F,283.0,1-6 7-6(6) 6-1 3-6 6-4,Carlos Alcaraz,Novak Djokovic,1.3987132352941176,2,3.2,1,3,0.7058823529411765,34.0
